-1125	minecraft:sulfur_spike
-1124	minecraft:chiseled_cinnabar
-1123	minecraft:cinnabar_brick_wall
-1122	minecraft:cinnabar_brick_stairs
-1120	minecraft:cinnabar_brick_slab
-1119	minecraft:cinnabar_bricks
-1118	minecraft:polished_cinnabar_wall
-1117	minecraft:polished_cinnabar_stairs
-1115	minecraft:polished_cinnabar_slab
-1114	minecraft:polished_cinnabar
-1113	minecraft:cinnabar_wall
-1112	minecraft:cinnabar_stairs
-1110	minecraft:cinnabar_slab
-1109	minecraft:cinnabar
-1108	minecraft:potent_sulfur
-1107	minecraft:chiseled_sulfur
-1106	minecraft:sulfur_brick_wall
-1105	minecraft:sulfur_brick_stairs
-1103	minecraft:sulfur_brick_slab
-1102	minecraft:sulfur_bricks
-1101	minecraft:polished_sulfur_wall
-1100	minecraft:polished_sulfur_stairs
-1098	minecraft:polished_sulfur_slab
-1097	minecraft:polished_sulfur
-1096	minecraft:sulfur_wall
-1095	minecraft:sulfur_stairs
-1093	minecraft:sulfur_slab
-1092	minecraft:sulfur
-1091	minecraft:golden_dandelion
-1090	minecraft:waxed_oxidized_copper_lantern
-1089	minecraft:waxed_weathered_copper_lantern
-1088	minecraft:waxed_exposed_copper_lantern
-1087	minecraft:waxed_copper_lantern
-1086	minecraft:oxidized_copper_lantern
-1085	minecraft:weathered_copper_lantern
-1084	minecraft:exposed_copper_lantern
-1083	minecraft:copper_lantern
-1082	minecraft:copper_torch
-1081	minecraft:waxed_oxidized_copper_chain
-1080	minecraft:waxed_weathered_copper_chain
-1079	minecraft:waxed_exposed_copper_chain
-1078	minecraft:waxed_copper_chain
-1077	minecraft:oxidized_copper_chain
-1076	minecraft:weathered_copper_chain
-1075	minecraft:exposed_copper_chain
-1074	minecraft:copper_chain
-1073	minecraft:waxed_oxidized_copper_bars
-1072	minecraft:waxed_weathered_copper_bars
-1071	minecraft:waxed_exposed_copper_bars
-1070	minecraft:waxed_copper_bars
-1069	minecraft:oxidized_copper_bars
-1068	minecraft:weathered_copper_bars
-1067	minecraft:exposed_copper_bars
-1066	minecraft:copper_bars
-1065	minecraft:waxed_oxidized_lightning_rod
-1064	minecraft:waxed_weathered_lightning_rod
-1063	minecraft:waxed_exposed_lightning_rod
-1062	minecraft:waxed_lightning_rod
-1061	minecraft:oxidized_lightning_rod
-1060	minecraft:weathered_lightning_rod
-1059	minecraft:exposed_lightning_rod
-1058	minecraft:warped_shelf
-1057	minecraft:crimson_shelf
-1056	minecraft:bamboo_shelf
-1055	minecraft:pale_oak_shelf
-1054	minecraft:cherry_shelf
-1053	minecraft:mangrove_shelf
-1052	minecraft:dark_oak_shelf
-1051	minecraft:acacia_shelf
-1050	minecraft:jungle_shelf
-1049	minecraft:birch_shelf
-1048	minecraft:spruce_shelf
-1047	minecraft:oak_shelf
-1046	minecraft:waxed_oxidized_copper_golem_statue
-1045	minecraft:waxed_weathered_copper_golem_statue
-1044	minecraft:waxed_exposed_copper_golem_statue
-1043	minecraft:waxed_copper_golem_statue
-1042	minecraft:oxidized_copper_golem_statue
-1041	minecraft:weathered_copper_golem_statue
-1040	minecraft:exposed_copper_golem_statue
-1039	minecraft:copper_golem_statue
-1038	minecraft:waxed_oxidized_copper_chest
-1037	minecraft:waxed_weathered_copper_chest
-1036	minecraft:waxed_exposed_copper_chest
-1035	minecraft:waxed_copper_chest
-1034	minecraft:oxidized_copper_chest
-1033	minecraft:weathered_copper_chest
-1032	minecraft:exposed_copper_chest
-1031	minecraft:copper_chest
-1030	minecraft:cactus_flower
-1029	minecraft:tall_dry_grass
-1028	minecraft:short_dry_grass
-1027	minecraft:dried_ghast
-1026	minecraft:leaf_litter
-1025	minecraft:firefly_bush
-1024	minecraft:wildflowers
-1023	minecraft:bush
-1022	minecraft:resin_clump
-1021	minecraft:resin_block
-1020	minecraft:chiseled_resin_bricks
-1019	minecraft:closed_eyeblossom
-1018	minecraft:open_eyeblossom
-1017	minecraft:resin_brick_wall
-1016	minecraft:resin_brick_stairs
-1014	minecraft:resin_brick_slab
-1013	minecraft:resin_bricks
-1012	minecraft:creaking_heart
-1011	minecraft:pale_hanging_moss
-1010	minecraft:pale_moss_carpet
-1009	minecraft:pale_moss_block
-1008	minecraft:mushroom_stem
-1007	minecraft:pale_oak_leaves
-1006	minecraft:pale_oak_sapling
-1005	minecraft:pale_oak_wood
-1004	minecraft:stripped_pale_oak_wood
